artist,artist_id,artist_popularity,artist_followers,genres,track_name,track_id,track_popularity,release_date,danceability,energy,tempo
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,87,2023-06-23,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,ExtraL (feat. Doechii),4EIFwndJvGpgFjsEbNuYif,0,2025-03-07,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,Love Hangover (feat. Dominic Fike),0rx7xu0RmZLpJjKNVZjSVv,0,2025-03-07,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,Mantra,1kUyOJb3fzUo8r0OCz5SQk,0,2025-03-07,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,SPOT!,1SS0WlKhJewviwEDZ6dWj0,72,2024-04-26,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,You & Me,6gcuJpHu0Ey30D5WR76y98,66,2023-10-06,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,like JENNIE,0fK7ie6XwGxQTIkpFoWkd1,0,2025-03-07,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,SOLO,2wVDWtLKXunswWecARNILj,66,2018-11-12,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,Handlebars (feat. Dua Lipa),3gJAFFELdZyIM8tiwLAikg,0,2025-03-07,,,
JENNIE,250b0Wlc5Vk0CoUsaCY84M,82,9222701,k-pop,Damn Right (feat. Childish Gambino & Kali Uchis),6HjYE79OOCGEhkIRfXLqrz,0,2025-03-07,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,People Watching,6gBjUipB0ZxHd1BvwdJTDQ,63,2025-02-21,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Arm's Length,6ty3uMPCIEGVgGbrvHfeoU,62,2025-02-21,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Seventeen Going Under,5rF6YUIlgiat22OT1lWspJ,66,2021-10-08,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Little Bit Closer,3y6DzVmGrnOEftEgBKb3fq,65,2025-02-21,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Hypersonic Missiles,6CltzquypraYIlWFp48m1O,65,2019-09-13,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Wild Long Lie,5lQS3Q71OZWEA2tt7TcWai,61,2025-02-21,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Homesick (with Sam Fender),4L3Rud7r43lpC2NVJeSzSO,61,2024-02-09,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Chin Up,66KZtX4hp3Y7JaqmNL5z4i,63,2025-02-21,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Remember My Name,5fGoghiN4LfRES0MGWagRp,58,2025-02-21,,,
Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,75,1037375,,Nostalgia's Lie,10MJWoKUV6AthUYR323MqB,62,2025-02-21,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Runaway,7HjU833ZEDExWGm6XkNbXI,60,2015-10-09,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Days in the Sun,4y4MynI3ysiE6pc4XsSTYR,56,2014-12-11,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Gone (The Pocahontas Song),79ONOxfgTLeYAv28RHi3pC,54,2014-12-11,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,I'm With You,3fk3OzVglbhE8juulLUdOz,44,2025-02-21,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Laps Around The Sun,6TfJaJV86gzlrXy1K0S5Wp,53,2018-11-09,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,New Love,1Rv9LjrVSOzQ7L7fdBlnM7,45,2025-02-21,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Learn Yourself,3tJg9otwUlRKUVg0M7Wncl,48,2025-02-21,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Hands I Can Hold,4j6ZTGXNT0QmGpys5x6NNZ,49,2014-12-11,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Where Does The Love Go?,5EX1fg9guNPS5hmeOvhP5F,43,2025-02-21,,,
Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,62,417161,folk pop,Simple Things,4IJSCa7swAnsdCrGwayZ2G,49,2013-10-03,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,"Sally, When The Wine Runs Out",2J051fjLklkoPbzOoTAACZ,72,2025-02-14,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,Look At That Woman,6Op1AAvS0Jb3Gbom92zadJ,66,2024-07-19,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,Deeply Still In Love,2jAQzmhwPPcc6jBx4w664w,62,2024-07-19,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,Some Protector,6fjl6Ekn2hE7U9TLJ8teY0,62,2025-02-14,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,Old Recliners,1PewwBauzqbg7VGp2JHyKZ,62,2025-02-14,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,The Longest Goodbye,2zpzTie4pktSg0ORDf00wy,62,2025-02-14,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,Writing's On The Wall,4mDTqEqt0QHQFPNkz8eHjr,58,2024-07-19,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,"Oh, Gemini",6gKCztJf6T1hpXdWcFk8KB,58,2024-07-19,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,Frances,01VATSJaCq2JZneLFkIKBN,57,2024-07-19,,,
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,72,568112,bedroom pop,Somebody Else - Spotify Singles,5gMZytf2L5iBLiyBEaSAhh,60,2024-09-18,,,
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,91,20162771,,Espresso,2HRqTpkrJO5ggZyyK6NPWz,84,2024-08-23,,,
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,91,20162771,,Taste,5G2f63n7IPVPPjfNIGih7Q,86,2024-08-23,,,
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,91,20162771,,Please Please Please,2tHwzyyOLoWSFqYNjeVMzj,82,2024-08-23,,,
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,91,20162771,,Busy Woman,0b0Dz0Gi86SVdBxYeiQcCP,84,2025-02-14,,,
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,91,20162771,,Bed Chem,1UHS8Rf6h5Ar3CDWRd3wjF,83,2024-08-23,,,
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,91,20162771,,Juno,21B4gaTWnTkuSh77iWEXdS,81,2024-08-23,,,
